DIC, DIC2D, DIC2D, DIC2D, DIC2D, DIC2D, DIC2D, DIC2D, DIC2D, Log(Force 1), Log(Force 2), Log(Force 3), Log(Force 4), Log(Displacement 1), Log(Displacement 2), Log(Displacement 3), Log(Displacement 4), 
137,1568.080888,1565.139213,1417.93187,1404.844311,1314.239631,1503.729171,1464.678676,1308.451308,0.13513,0.02826,0.03648,0.06114,1.07573,1.17505,1.05765,1.17998, 
138,1567.209705,1564.294408,1417.329135,1404.003218,1314.628748,1504.18491,1465.228717,1309.172014,0.13678,0.0299,0.03977,0.06114,1.07606,1.18195,1.06357,1.18689, 
139,1567.957569,1564.531616,1417.480972,1404.235554,1315.041408,1504.976084,1465.523133,1309.470085,0.14007,0.03319,0.04141,0.06114,1.09185,1.19938,1.08099,1.2053, 
140,1567.409519,1564.272939,1417.424292,1403.607365,1315.76402,1505.37622,1466.125555,1310.049715,0.13678,0.0299,0.04141,0.06279,1.09645,1.20135,1.08231,1.20892, 
141,1567.652528,1563.888251,1417.37388,1403.787251,1316.147323,1506.117945,1466.630828,1310.452969,0.14171,0.0299,0.04141,0.06279,1.10369,1.21385,1.09481,1.21977, 
142,1567.380643,1563.591589,1417.194421,1403.393113,1316.606805,1506.652911,1466.988335,1310.830648,0.14007,0.03484,0.0447,0.0595,1.10632,1.21451,1.09744,1.22372, 
143,1568.072312,1563.897116,1417.577751,1404.07375,1316.891406,1507.051006,1467.245845,1311.180864,0.14007,0.0299,0.03812,0.06114,1.11684,1.22733,1.10665,1.23556, 
144,1566.988203,1563.070862,1416.715852,1402.758659,1317.044457,1507.216806,1467.469743,1311.295252,0.14336,0.0299,0.0447,0.0595,1.12835,1.24115,1.11881,1.24772, 
145,1567.96174,1563.655023,1417.243993,1403.716628,1317.749515,1507.848671,1468.098588,1312.009864,0.14829,0.0299,0.0447,0.06279,1.14282,1.25068,1.12901,1.24739, 
146,1566.926661,1562.801521,1416.787668,1402.368719,1318.025847,1508.005778,1468.351625,1312.255505,0.14336,0.03319,0.0447,0.0595,1.1415,1.25496,1.13065,1.26384, 
147,1567.944983,1563.153142,1417.594513,1403.485209,1318.765092,1508.838374,1468.744677,1312.988128,0.14829,0.03155,0.04635,0.0595,1.14117,1.25693,1.13328,1.26219, 
148,1567.426442,1562.865063,1418.288296,1402.791979,1319.13689,1509.30406,1469.469633,1313.439687,0.14829,0.02826,0.04635,0.0595,1.16913,1.27896,1.15466,1.28718, 
149,1567.368863,1562.770649,1418.36189,1402.532449,1319.679518,1509.820148,1470.644904,1313.947048,0.14993,0.03155,0.04635,0.0595,1.16913,1.2839,1.15795,1.29376, 
150,1567.316349,1562.294467,1417.189614,1402.414999,1320.263632,1510.343376,1470.460318,1314.54942,0.145,0.0299,0.05128,0.05785,1.17538,1.29376,1.1665,1.30231, 
151,1567.478645,1562.529613,1416.944394,1402.407634,1320.830899,1511.001102,1471.064794,1315.119945,0.15322,0.03319,0.04635,0.06443,1.17932,1.29738,1.17044,1.30724, 
152,1567.229791,1562.056605,1416.585311,1401.968721,1321.336684,1511.432074,1471.645206,1315.682506,0.15322,0.02497,0.05128,0.05785,1.19741,1.31284,1.18787,1.32467, 
153,1567.477293,1562.047294,1416.593489,1403.041749,1321.7919,1512.136363,1472.082825,1315.046356,0.15815,0.03484,0.05128,0.05785,1.20267,1.32303,1.19215,1.32928, 
154,1567.346304,1562.022891,1416.410069,1403.082498,1322.351912,1512.49773,1472.57789,1316.81686,0.15815,0.0299,0.05457,0.06443,1.21188,1.33454,1.20267,1.34013, 
155,1567.444562,1562.056208,1416.321499,1402.233019,1323.009361,1513.193978,1473.324603,1318.355067,0.15651,0.03155,0.05292,0.0595,1.22043,1.33947,1.20464,1.34177, 
156,1567.163983,1561.639271,1416.179153,1401.445826,1323.488618,1513.681432,1473.663498,1317.857419,0.15322,0.0299,0.04963,0.06114,1.22701,1.34605,1.21319,1.35263, 
157,1567.803324,1561.994194,1416.44734,1401.841163,1323.839327,1514.340061,1473.986581,1318.144142,0.15651,0.03155,0.05621,0.06443,1.2372,1.35526,1.22536,1.3694, 
158,1567.134851,1561.592957,1415.981002,1401.032677,1324.831606,1514.85578,1474.88641,1319.033448,0.15322,0.0299,0.05785,0.06279,1.24378,1.36874,1.23292,1.37466, 
159,1567.31274,1561.411807,1415.884991,1401.03839,1324.9444,1515.197449,1475.065447,1319.114559,0.16309,0.03648,0.05785,0.0595,1.24838,1.37466,1.23884,1.38288, 
160,1567.567838,1561.492603,1415.989035,1401.366676,1325.525709,1515.631408,1475.587021,1319.724577,0.15651,0.03155,0.05621,0.06114,1.25759,1.38255,1.24509,1.38913, 
161,1567.234424,1561.086111,1416.116528,1400.759788,1326.014272,1516.19751,1475.955666,1320.319948,0.16473,0.03155,0.0595,0.06114,1.26976,1.39439,1.25792,1.40261, 
162,1566.769788,1560.604627,1417.090923,1400.279244,1326.55419,1516.789903,1476.431374,1320.757332,0.15815,0.03319,0.06279,0.06279,1.27699,1.40491,1.26614,1.41281, 
163,1567.49455,1560.973506,1417.834853,1400.906621,1327.011455,1517.389809,1478.361782,1321.192452,0.15815,0.0299,0.06114,0.06114,1.29047,1.41774,1.27732,1.41544, 
164,1566.900382,1560.568785,1416.056264,1400.021914,1327.77382,1517.853955,1477.924015,1322.087611,0.16473,0.03319,0.06279,0.06443,1.29113,1.4184,1.27798,1.42859, 
165,1566.791695,1560.506089,1415.214589,1399.863911,1328.056753,1518.197625,1478.01771,1322.281022,0.16473,0.03155,0.06114,0.05785,1.30165,1.43122,1.29014,1.4401, 
166,1566.858096,1560.461269,1415.028638,1399.922099,1328.772625,1518.741888,1478.648549,1322.783102,0.16638,0.03319,0.06608,0.06443,1.31448,1.44372,1.30396,1.4549, 
167,1566.940724,1560.570051,1414.991232,1399.50803,1329.561903,1519.397277,1479.449641,1323.236902,0.16966,0.03319,0.06936,0.06114,1.31415,1.44405,1.30363,1.4549, 
168,1567.109472,1560.464714,1414.904333,1398.914319,1330.226196,1520.220718,1480.0392,1324.664178,0.16638,0.03155,0.06608,0.06443,1.32665,1.45786,1.31612,1.46476, 
169,1566.744181,1560.272097,1414.611203,1399.279311,1330.52031,1520.693897,1480.72437,1325.504354,0.16966,0.03155,0.06772,0.06443,1.33849,1.46937,1.32303,1.4743, 
170,1566.815544,1560.194517,1414.80988,1399.391774,1331.293522,1521.241198,1481.131493,1325.682912,0.16638,0.02826,0.07101,0.06443,1.34013,1.47627,1.33092,1.48252, 
171,1566.562612,1560.157791,1414.792697,1399.065799,1332.164937,1521.880364,1481.733302,1326.309562,0.17295,0.03155,0.07101,0.0595,1.36151,1.49173,1.3444,1.49897, 
172,1566.831453,1560.08946,1414.644547,1399.103216,1332.809989,1522.682302,1482.563359,1327.053368,0.17295,0.02826,0.07265,0.06772,1.35361,1.49206,1.34769,1.49601, 
173,1566.130338,1559.326767,1413.975303,1398.115298,1333.052755,1523.031591,1482.849272,1327.425619,0.17295,0.02826,0.07101,0.06772,1.3717,1.50719,1.35953,1.51771, 
174,1567.215826,1559.97372,1414.324699,1399.037042,1333.981945,1523.684347,1483.51954,1328.334172,0.17295,0.02661,0.07265,0.06279,1.37137,1.5108,1.36019,1.51343, 
175,1566.36756,1559.274765,1413.856952,1397.951075,1334.073952,1523.990851,1483.757869,1328.540735,0.17624,0.0299,0.0743,0.06443,1.38551,1.52823,1.37302,1.53317, 
176,1567.248404,1559.530273,1414.341372,1398.735761,1334.902116,1524.941095,1484.539338,1329.327281,0.17295,0.0299,0.07265,0.06772,1.39735,1.53185,1.38124,1.54073, 
177,1566.505906,1559.039967,1413.769268,1397.841766,1335.429943,1525.259147,1485.005399,1329.820545,0.17953,0.0299,0.07594,0.06443,1.40886,1.54698,1.39472,1.55125, 
178,1566.797872,1558.930273,1413.78844,1397.906161,1336.021438,1525.685064,1485.442215,1330.210112,0.18117,0.03319,0.07101,0.06608,1.40787,1.55158,1.39867,1.55783, 
179,1566.503727,1558.972994,1413.71575,1397.565719,1336.619728,1526.170176,1486.114974,1330.927551,0.17953,0.02661,0.07594,0.06608,1.42136,1.56243,1.40853,1.56605, 
180,1566.682811,1559.139369,1414.097244,1397.628161,1337.450199,1526.837235,1486.674131,1331.838131,0.17624,0.0299,0.07759,0.06772,1.42793,1.57,1.41544,1.57493, 
181,1566.89863,1559.080405,1413.918935,1397.69173,1338.178074,1527.450395,1487.492742,1332.557032,0.17953,0.0299,0.08252,0.06608,1.43911,1.5792,1.423,1.58381, 
182,1566.618545,1558.790232,1413.733304,1397.320739,1338.554718,1527.81641,1487.870918,1332.983045,0.18282,0.02497,0.08416,0.06608,1.45293,1.5917,1.43681,1.59795, 
183,1566.806374,1558.836308,1413.48625,1397.304596,1339.233169,1528.538374,1488.318961,1333.6338,0.19268,0.02661,0.08745,0.06608,1.45062,1.60025,1.44142,1.60354, 
184,1566.566794,1558.323083,1412.915095,1396.846651,1339.473761,1528.964488,1488.802037,1334.050062,0.18775,0.0299,0.08581,0.06936,1.46772,1.61242,1.4526,1.61932, 
185,1566.543699,1558.373615,1412.927223,1396.433553,1340.130434,1529.502499,1489.813812,1334.480675,0.19104,0.03319,0.08581,0.06772,1.46674,1.61308,1.45391,1.61702, 
186,1566.691548,1558.672725,1413.170055,1396.605802,1340.809388,1529.891045,1490.007797,1335.24575,0.19104,0.03484,0.0891,0.07265,1.48186,1.63018,1.4674,1.63248, 
187,1566.165059,1558.229788,1412.932939,1396.29545,1341.077372,1530.109092,1490.267635,1335.391705,0.1894,0.03484,0.08745,0.07101,1.49206,1.63643,1.47726,1.64432, 
188,1566.712996,1558.509858,1413.071947,1396.648686,1341.617643,1530.776312,1490.741177,1336.033759,0.19268,0.03155,0.09238,0.06772,1.49469,1.64432,1.47858,1.6453, 
189,1565.966782,1558.073562,1412.590768,1395.927843,1342.017216,1531.070708,1490.859729,1336.633137,0.19104,0.03484,0.09238,0.06608,1.50488,1.65451,1.49042,1.65912, 
190,1566.452186,1558.24161,1411.777096,1396.152209,1342.707128,1531.650711,1490.579625,1337.270764,0.18775,0.03484,0.09074,0.06772,1.51245,1.66504,1.49962,1.67095, 
191,1566.168278,1558.193307,1409.017948,1395.678985,1343.321238,1532.128856,1494.001618,1337.729694,0.19926,0.03319,0.09732,0.07101,1.52396,1.6772,1.50784,1.67852, 
192,1566.668893,1558.349228,1411.626428,1396.059658,1343.839394,1532.792514,1492.43804,1338.532178,0.19762,0.03484,0.09074,0.06936,1.53053,1.68246,1.51442,1.6851, 
193,1566.079779,1557.817584,1411.909573,1395.236953,1344.656634,1533.367658,1493.566741,1339.238302,0.19762,0.03319,0.09896,0.07594,1.54172,1.69595,1.52955,1.69989, 
194,1567.036735,1558.420859,1412.673563,1396.140634,1344.857315,1533.656731,1493.673791,1339.471045,0.19762,0.03484,0.09732,0.07265,1.55158,1.70581,1.53613,1.70779, 
195,1565.503683,1557.47143,1411.869947,1394.441486,1345.624835,1534.259162,1494.40225,1340.323143,0.20255,0.03319,0.09896,0.07759,1.55553,1.71371,1.5427,1.71634, 
196,1565.492985,1557.164344,1411.494602,1393.86943,1345.927901,1534.484645,1494.588823,1340.062176,0.19926,0.03648,0.10061,0.07101,1.56506,1.71699,1.55092,1.72423, 
197,1566.724984,1558.049837,1412.163017,1393.711918,1346.449368,1535.212873,1495.126239,1339.944324,0.20748,0.03648,0.10061,0.0743,1.57033,1.7262,1.55619,1.73081, 
198,1565.496043,1557.204523,1411.465228,1390.387999,1347.174992,1535.668531,1496.061428,1340.615102,0.20255,0.03648,0.10225,0.0743,1.58743,1.7433,1.57065,1.74791, 
199,1567.303477,1558.161667,1412.367031,1392.561673,1347.538936,1536.129537,1496.331013,1343.207639,0.20091,0.03155,0.10061,0.07101,1.59335,1.74922,1.57789,1.7535, 
200,1567.699303,1558.565613,1412.980032,1395.991605,1347.950521,1536.560407,1496.703793,1345.923521,0.20255,0.03155,0.10718,0.07101,1.60091,1.75942,1.58512,1.76501, 
201,1565.404589,1556.932166,1411.681351,1394.241555,1347.638222,1536.118268,1496.393517,1344.090865,0.21077,0.03484,0.10389,0.07101,1.60584,1.76468,1.58874,1.76895, 
202,1567.666015,1558.353062,1412.733286,1395.785195,1348.973806,1537.339275,1497.560743,1343.421101,0.21241,0.03484,0.11212,0.07265,1.61637,1.77717,1.59959,1.78079, 
203,1566.182408,1557.56581,1412.01904,1394.407616,1348.917608,1537.372111,1497.689989,1344.036065,0.21241,0.03319,0.10718,0.0743,1.62459,1.7877,1.61012,1.79131, 
204,1565.060269,1556.598965,1411.049329,1393.083116,1349.381097,1537.627853,1498.154665,1344.566816,0.21077,0.03319,0.11047,0.07101,1.62755,1.79263,1.61472,1.79822, 
205,1566.843355,1557.848885,1411.806203,1394.573166,1350.200252,1538.419007,1498.75248,1345.180359,0.2157,0.03155,0.11212,0.06936,1.63774,1.79954,1.62426,1.80907, 
206,1566.921342,1557.963103,1412.010732,1394.370619,1349.945561,1538.39505,1498.644683,1345.036445,0.21077,0.03812,0.11376,0.07759,1.64432,1.80907,1.62919,1.81598, 
207,1565.561468,1556.931738,1411.187216,1392.870341,1350.454691,1538.770782,1499.215769,1345.442554,0.21899,0.03977,0.1154,0.07759,1.65681,1.82453,1.64465,1.83143, 
208,1565.607981,1556.766173,1410.89617,1392.887695,1350.79244,1539.163422,1499.343352,1345.605789,0.21735,0.03977,0.11376,0.0743,1.65912,1.83374,1.65122,1.83801, 
209,1566.510027,1557.279749,1411.240647,1393.662994,1351.251327,1539.516845,1499.696504,1346.111193,0.22064,0.03812,0.11869,0.0743,1.67326,1.839,1.65747,1.84294, 
210,1566.182593,1557.061435,1411.173803,1393.190803,1351.115823,1539.583593,1499.735553,1346.068665,0.22228,0.03484,0.12034,0.07594,1.68016,1.8459,1.66668,1.85248, 
211,1566.246202,1556.984495,1411.076114,1393.033245,1351.50206,1539.743981,1500.011096,1346.532088,0.22557,0.0447,0.12856,0.0743,1.68871,1.85972,1.67655,1.86563, 
212,1565.969182,1556.837331,1411.140597,1392.804976,1351.710595,1540.140916,1500.328469,1346.763799,0.22557,0.04141,0.12198,0.0743,1.69562,1.86695,1.68345,1.87287, 
213,1566.33947,1556.933155,1411.318121,1392.920515,1352.08016,1540.609315,1500.766058,1347.225349,0.23215,0.04635,0.12691,0.08252,1.70285,1.8755,1.68904,1.88142, 
214,1565.902513,1556.781424,1410.954251,1392.451204,1352.051073,1540.627575,1500.826999,1347.133063,0.22228,0.03977,0.12363,0.07594,1.70976,1.88405,1.69693,1.89063, 
215,1566.038787,1556.578083,1410.761703,1392.368759,1352.37463,1540.805625,1501.150981,1347.551061,0.22228,0.0447,0.12527,0.08087,1.72324,1.89293,1.70351,1.89951, 
216,1566.25729,1556.69848,1410.694912,1392.465316,1352.547403,1541.126776,1501.385689,1347.728073,0.2305,0.04306,0.12856,0.07923,1.73541,1.90871,1.71634,1.91365, 
217,1566.602277,1557.08377,1410.897224,1392.68214,1352.678529,1541.35427,1501.462304,1347.861636,0.23379,0.04635,0.13185,0.08252,1.7387,1.91135,1.72423,1.91891, 
218,1566.055262,1556.697644,1410.663593,1392.020259,1352.783216,1541.499404,1501.747308,1348.002962,0.22886,0.04635,0.13513,0.08252,1.74495,1.92285,1.73048,1.92779, 
219,1566.299139,1556.748422,1410.702168,1392.16742,1352.998205,1541.806062,1501.932109,1348.229369,0.23708,0.04963,0.14007,0.08087,1.75185,1.9291,1.7364,1.93338, 
220,1566.955296,1557.113857,1410.745955,1392.666718,1353.193833,1542.041643,1502.098816,1348.465774,0.23708,0.05128,0.13842,0.08416,1.75974,1.93765,1.74791,1.94949, 
221,1565.940734,1556.4536,1410.203152,1391.516443,1353.218901,1542.146807,1502.302951,1348.476159,0.23708,0.04963,0.13678,0.08581,1.76961,1.95081,1.75646,1.95673, 
222,1566.732277,1556.926772,1410.582751,1392.243278,1353.5669,1542.588838,1502.647418,1348.827267,0.23872,0.05128,0.13842,0.08745,1.77553,1.95969,1.76402,1.96462, 
223,1566.347279,1556.620031,1410.252577,1391.703736,1353.459842,1542.589222,1502.56205,1348.812351,0.24366,0.05292,0.14007,0.08581,1.78145,1.96528,1.7706,1.9712, 
224,1566.741807,1556.75207,1410.467151,1391.900228,1353.513048,1542.785457,1502.71472,1348.809331,0.2453,0.05457,0.14171,0.08745,1.79888,1.9804,1.78375,1.98534, 
225,1566.384969,1556.554188,1410.198605,1391.459954,1353.60022,1542.898718,1502.884005,1348.89019,0.24694,0.05621,0.14336,0.09238,1.80743,1.99356,1.7923,1.9952, 
226,1566.778975,1556.862331,1410.291062,1391.755271,1353.772646,1543.168202,1503.017775,1349.224018,0.24694,0.05457,0.145,0.09238,1.81532,1.99948,1.79723,2.00408, 
227,1566.745312,1556.684724,1410.263461,1391.439724,1354.029077,1543.384638,1503.340957,1349.420262,0.25188,0.0595,0.145,0.09238,1.81762,2.00474,1.80217,2.00704, 
228,1566.588913,1556.668604,1410.102454,1391.24099,1354.191339,1543.691226,1503.494548,1349.642809,0.24694,0.05621,0.14664,0.09238,1.82256,2.01329,1.81072,2.01625, 
229,1566.824001,1556.715401,1410.156329,1391.232471,1354.536554,1544.103486,1503.998675,1350.095041,0.25352,0.05457,0.15158,0.09732,1.83637,2.0271,1.82551,2.03236, 
230,1566.411683,1556.288556,1409.900306,1390.765996,1354.802614,1544.447337,1504.320026,1350.313837,0.25023,0.0595,0.15487,0.09732,1.8436,2.03631,1.83045,2.03861, 
231,1566.734766,1556.556765,1410.086698,1391.000528,1354.818032,1544.699344,1504.380627,1350.313308,0.25352,0.06114,0.15487,0.09896,1.85149,2.04223,1.83998,2.04946, 
232,1566.656153,1556.409413,1409.918733,1390.742555,1354.878614,1544.819599,1504.585603,1350.35677,0.25681,0.0595,0.1598,0.09732,1.86235,2.05308,1.84985,2.059, 
233,1566.702314,1556.181582,1409.860182,1390.65188,1355.006258,1544.978094,1504.791974,1350.530492,0.25845,0.06772,0.15651,0.09403,1.87616,2.06262,1.86037,2.06919, 
234,1566.746087,1556.311638,1409.718268,1390.526936,1355.017774,1545.048713,1504.871927,1350.505056,0.25845,0.06443,0.16473,0.10225,1.87682,2.07084,1.86596,2.07544, 
235,1566.515957,1556.086379,1409.538945,1390.236032,1355.034106,1545.281078,1504.91824,1350.581626,0.26339,0.06443,0.1598,0.10389,1.88898,2.08005,1.87451,2.08662, 
236,1566.997785,1556.186164,1409.761478,1390.640393,1355.198733,1545.520975,1505.255804,1350.707217,0.2601,0.06114,0.16144,0.10389,1.89951,2.09221,1.88668,2.09978, 
237,1566.706161,1556.100225,1409.641927,1390.166428,1355.116258,1545.664763,1505.290718,1350.782219,0.26832,0.06443,0.16802,0.10554,1.89589,2.09419,1.88471,2.09813, 
238,1566.91034,1556.207227,1409.644479,1390.255048,1355.523418,1545.990877,1505.819045,1351.088974,0.26503,0.07101,0.16309,0.10225,1.9143,2.10833,1.89951,2.11523, 
239,1566.729963,1555.946817,1409.646697,1389.919953,1355.639143,1546.121634,1505.974667,1351.298575,0.26996,0.06772,0.16966,0.10389,1.92285,2.11589,1.90608,2.12345, 
240,1566.816778,1556.167325,1409.608911,1390.031253,1355.881264,1546.625097,1506.233493,1351.540252,0.26832,0.07265,0.16966,0.10554,1.93634,2.13332,1.92384,2.14055, 
241,1566.678711,1555.880817,1409.324811,1389.678947,1355.69951,1546.577603,1506.145779,1351.381806,0.27325,0.07265,0.16802,0.10883,1.93075,2.13266,1.92285,2.13727, 
242,1567.764486,1556.29931,1409.974802,1390.628893,1355.832631,1546.865725,1506.512081,1351.576227,0.27161,0.0743,0.1746,0.11047,1.9393,2.13727,1.92746,2.1422, 
243,1566.736534,1556.16713,1409.299612,1389.39909,1356.027668,1547.10952,1506.599518,1351.826256,0.27654,0.07594,0.17624,0.11212,1.95574,2.15437,1.94193,2.15864, 
244,1566.937705,1555.897721,1409.165565,1389.431949,1356.298692,1547.534906,1507.028964,1352.128148,0.26996,0.07265,0.17789,0.11047,1.95903,2.15963,1.9462,2.1639, 
245,1567.142683,1555.790506,1409.257606,1389.618436,1356.10642,1547.58714,1506.986885,1351.997691,0.27654,0.07923,0.17624,0.11705,1.96988,2.1741,1.95804,2.17936, 
246,1567.744014,1556.999573,1409.598462,1390.120866,1356.444861,1548.052876,1507.164029,1352.208014,0.27654,0.07759,0.17789,0.1154,1.98106,2.18363,1.97087,2.18363, 
247,1566.986311,1556.424661,1409.170494,1389.14829,1356.026178,1547.924447,1506.926102,1351.907427,0.28476,0.08087,0.18446,0.11869,1.99158,2.19383,1.97646,2.19843, 
248,1567.125433,1555.461443,1408.922688,1389.126087,1356.614987,1548.324209,1507.82806,1352.534574,0.27983,0.07923,0.19104,0.12198,1.99356,2.19909,1.98238,2.20633, 
249,1567.643071,1556.84274,1409.201431,1389.682571,1356.194429,1548.438935,1507.159614,1352.125165,0.28805,0.08087,0.18775,0.12034,2.00671,2.21257,1.99422,2.22014, 
250,1567.53042,1557.514765,1409.243625,1389.455371,1356.447015,1548.618342,1507.417071,1352.263413,0.28312,0.08416,0.19104,0.12527,2.00803,2.21619,1.9952,2.22145, 
251,1567.778045,1557.459072,1409.189907,1389.403762,1356.507291,1548.844394,1507.60047,1352.448959,0.28805,0.08581,0.19433,0.12691,2.01197,2.22277,2.00605,2.23494, 
252,1567.943986,1557.462093,1409.20077,1389.337339,1356.751412,1548.964815,1507.884968,1352.584403,0.29134,0.0891,0.19762,0.1302,2.03138,2.23033,2.01559,2.24579, 
253,1567.460685,1557.011338,1408.927943,1388.740433,1356.706118,1549.258792,1508.108133,1352.640113,0.29792,0.09074,0.19762,0.13349,2.03861,2.24579,2.02809,2.25631, 
254,1567.992337,1557.09239,1409.151852,1389.185343,1356.846615,1549.563202,1508.32611,1352.74459,0.29792,0.09074,0.20091,0.13349,2.04289,2.25697,2.03105,2.26289, 
255,1568.02486,1557.35464,1409.026357,1389.024405,1356.885044,1549.768609,1508.454718,1352.825898,0.3012,0.09732,0.19762,0.13185,2.0544,2.26289,2.04025,2.27144, 
256,1567.817007,1557.21892,1408.809971,1388.781891,1357.058297,1549.988163,1508.671751,1353.066524,0.3012,0.09403,0.20255,0.13678,2.06689,2.27834,2.05275,2.28393, 
257,1567.692752,1556.893445,1408.644546,1388.420176,1357.221157,1550.192716,1508.941136,1353.164151,0.30449,0.09403,0.20748,0.145,2.07577,2.28788,2.059,2.29183, 
258,1567.803743,1556.846323,1408.621213,1388.475706,1357.095943,1550.530993,1508.858863,1353.07719,0.30778,0.09896,0.20748,0.14336,2.08202,2.29314,2.06722,2.29873, 
259,1568.118289,1556.868841,1408.794815,1388.612158,1357.519109,1550.980433,1509.452181,1353.515496,0.30778,0.09896,0.20913,0.14664,2.09188,2.3063,2.0738,2.30926, 
260,1567.509744,1556.189533,1408.322529,1387.841049,1357.288538,1550.852083,1509.376123,1353.364455,0.30614,0.10389,0.21077,0.14664,2.09419,2.30695,2.08136,2.31419, 
261,1568.156716,1556.704059,1408.510207,1388.458346,1357.500835,1551.167333,1509.536031,1353.498342,0.30943,0.10061,0.21241,0.15158,2.1103,2.31978,2.0955,2.33195, 
262,1567.932991,1556.574426,1408.389731,1387.980104,1357.335134,1551.380508,1509.583042,1353.379596,0.31436,0.10225,0.21077,0.14829,2.11194,2.32833,2.10076,2.33622, 
263,1568.183412,1556.759115,1408.428429,1388.159338,1357.601627,1551.709384,1509.861605,1353.676246,0.316,0.10554,0.21899,0.15322,2.12576,2.33819,2.10833,2.34839, 
264,1567.850109,1556.30254,1408.117795,1387.532976,1357.474136,1551.600647,1509.931864,1353.524283,0.316,0.10554,0.21899,0.15158,2.13069,2.34806,2.11721,2.34806, 
265,1568.006623,1556.209213,1407.952988,1387.57388,1357.489695,1551.884384,1510.059086,1353.591486,0.32094,0.10225,0.22064,0.15322,2.13431,2.35135,2.12148,2.36121, 
266,1569.242637,1556.869905,1408.771154,1388.797546,1360.598906,1554.494556,1513.440394,1356.74591,0.32258,0.10554,0.22392,0.15158,2.14746,2.37174,2.13858,2.37864, 
267,1567.078234,1556.052086,1407.350502,1386.325977,1357.803349,1552.948529,1510.473286,1353.976951,0.32751,0.10883,0.22228,0.15158,2.1593,2.37799,2.14286,2.38226, 
268,1568.182056,1555.312352,1407.844031,1387.350313,1357.247293,1552.283545,1510.211313,1353.504884,0.32751,0.10883,0.22392,0.1598,2.1593,2.38621,2.14713,2.3918, 
269,1568.934259,1555.5469,1408.292081,1387.837081,1357.663018,1552.503607,1510.795674,1353.88392,0.3308,0.1154,0.22721,0.15815,2.17212,2.39574,2.15864,2.40068, 
270,1567.864283,1554.744974,1407.66364,1386.628365,1357.445373,1552.509701,1510.682819,1353.742353,0.32587,0.11869,0.23215,0.15651,2.18659,2.41219,2.17278,2.41843, 
271,1567.911507,1554.740435,1407.470535,1386.597165,1357.579321,1552.919451,1510.887137,1353.817524,0.33573,0.12198,0.23708,0.16144,2.19186,2.41811,2.17706,2.41482, 
272,1568.427185,1555.153554,1407.770518,1387.010973,1357.6642,1552.901179,1511.033061,1353.936411,0.3308,0.11869,0.23543,0.16309,2.19778,2.42403,2.18331,2.43225, 
273,1568.590529,1555.341993,1407.797149,1387.007313,1357.741724,1553.134361,1511.235957,1354.01535,0.33573,0.12363,0.23215,0.16144,2.19975,2.42468,2.19153,2.4306, 
274,1568.153497,1555.10936,1407.39198,1386.474765,1357.736734,1553.420789,1511.331401,1354.046196,0.33902,0.1302,0.24037,0.16473,2.21751,2.44507,2.20337,2.45395, 
275,1568.590323,1555.110695,1407.526709,1386.718878,1357.555999,1553.33437,1511.286917,1353.929384,0.34067,0.12691,0.24366,0.17131,2.21849,2.44606,2.20567,2.45395, 
