DIC, DIC2D, DIC2D, DIC2D, DIC2D, DIC2D, DIC2D, DIC2D, DIC2D, Log(Force 1), Log(Force 2), Log(Force 3), Log(Force 4), Log(Displacement 1), Log(Displacement 2), Log(Displacement 3), Log(Displacement 4), 
415,1579.718166,1552.020504,1396.64402,1371.236396,1345.743228,1577.52881,1520.651932,1341.116117,0.99837,0.68432,0.90136,0.76324,3.38756,3.74634,3.37309,3.74766, 
416,1579.437106,1551.803873,1396.450226,1371.03489,1345.7665,1577.880482,1521.028466,1341.211196,1.00988,0.69583,0.91616,0.76488,3.38394,3.7493,3.37441,3.75423, 
417,1579.398493,1551.74432,1396.215227,1370.695021,1345.528626,1577.970852,1520.939694,1341.04496,1.02303,0.7024,0.92602,0.77475,3.4017,3.76311,3.38756,3.76804, 
418,1579.740469,1551.901063,1396.340093,1370.846133,1345.461095,1578.152858,1520.812536,1340.731661,1.03783,0.72213,0.93918,0.79119,3.41815,3.77758,3.40137,3.78383, 
419,1579.910922,1552.084716,1396.426751,1370.83297,1345.563197,1578.577204,1521.335062,1340.848591,1.04934,0.72378,0.95233,0.79613,3.41716,3.78021,3.40302,3.78449, 
420,1579.745156,1552.263791,1396.151872,1370.571689,1345.394874,1578.733215,1521.007729,1340.589208,1.05427,0.732,0.96713,0.81586,3.43327,3.79205,3.41453,3.79896, 
421,1580.149526,1552.963166,1396.288812,1370.799723,1345.410617,1579.190966,1521.331931,1340.526799,1.06907,0.74187,0.97699,0.82408,3.43229,3.79961,3.41979,3.8052, 
422,1580.276459,1553.154279,1396.238836,1370.800373,1345.456026,1579.55669,1521.547799,1340.424561,1.08716,0.75666,0.98686,0.8323,3.44643,3.81014,3.43327,3.81606, 
423,1580.552614,1553.51829,1396.174892,1370.92494,1345.408222,1580.009627,1521.549197,1340.263176,1.09374,0.75831,1.00166,0.83888,3.453,3.82033,3.43755,3.82494, 
424,1580.654988,1553.426012,1396.010422,1370.669541,1345.216365,1579.807764,1521.341945,1340.073955,1.10689,0.76653,1.00988,0.8471,3.45563,3.82494,3.4461,3.8302, 
425,1580.663931,1553.490597,1396.02882,1370.806968,1345.130234,1579.846734,1521.277363,1339.794441,1.12333,0.78462,1.0329,0.85696,3.47142,3.84302,3.45892,3.84467, 
426,1580.900583,1553.847849,1396.087113,1370.745384,1345.26528,1580.348434,1521.721588,1339.935807,1.12662,0.78955,1.04276,0.86847,3.47175,3.84171,3.4609,3.84828, 
427,1580.279797,1553.206387,1395.757964,1370.112768,1345.029137,1580.585417,1521.740746,1339.916462,1.15951,0.80764,1.05592,0.88163,3.48293,3.86078,3.47076,3.86078, 
428,1580.863124,1553.316719,1396.067418,1370.441241,1344.829641,1580.645884,1521.729376,1339.811723,1.15786,0.80599,1.06414,0.88327,3.49016,3.86243,3.47898,3.8667, 
429,1580.5693,1553.24997,1395.704768,1370.039247,1344.917628,1581.15981,1521.99857,1339.788004,1.18253,0.82079,1.08551,0.90465,3.50562,3.87821,3.49082,3.88314, 
430,1580.679802,1552.976189,1395.620584,1369.958177,1344.891897,1581.224482,1522.126666,1339.674405,1.18253,0.83065,1.09045,0.91122,3.50595,3.88084,3.49608,3.8884, 
431,1580.546313,1552.817236,1395.401577,1369.635947,1344.62432,1581.327706,1522.012953,1339.487055,1.20226,0.83888,1.10853,0.92273,3.52042,3.89235,3.50496,3.8986, 
432,1581.068631,1553.211854,1395.599488,1369.915319,1344.785283,1581.752769,1522.26012,1339.459382,1.21377,0.85203,1.12169,0.93589,3.52042,3.9009,3.51055,3.90518, 
433,1581.128194,1553.276729,1395.730459,1369.98618,1344.649872,1581.782608,1522.213127,1339.319644,1.22856,0.8619,1.13155,0.93918,3.53291,3.90814,3.52305,3.91142, 
434,1581.090154,1553.067095,1395.366727,1369.660287,1344.516659,1581.931739,1522.176642,1339.038088,1.24665,0.87176,1.15293,0.95726,3.54442,3.92228,3.53127,3.92787, 
435,1581.223017,1553.287205,1395.555681,1369.829872,1344.572703,1582.413248,1522.483078,1339.087681,1.26803,0.88985,1.17102,0.96877,3.55067,3.93214,3.53883,3.93412, 
436,1581.058844,1553.023433,1395.381072,1369.524377,1344.531173,1582.624671,1522.697032,1338.955251,1.28611,0.90629,1.19075,0.98521,3.56712,3.94562,3.55297,3.94858, 
437,1581.453676,1553.282779,1395.411631,1369.618089,1344.498274,1582.888237,1522.693086,1339.135571,1.29598,0.91122,1.2039,0.98686,3.56744,3.94628,3.55429,3.95253, 
438,1581.478242,1553.372998,1395.34674,1369.547137,1344.57449,1583.250288,1522.802195,1339.097666,1.319,0.9326,1.23185,1.00659,3.57797,3.96075,3.56646,3.967, 
439,1581.43103,1553.115317,1395.099781,1369.408986,1344.44553,1583.340604,1522.890889,1338.892465,1.32886,0.93753,1.23021,1.01481,3.58652,3.96601,3.56942,3.97128, 
440,1581.533007,1553.319813,1395.235952,1369.636017,1344.479082,1583.716776,1523.018714,1338.805906,1.34202,0.94575,1.2483,1.02961,3.58948,3.97358,3.57764,3.98015, 
441,1581.538054,1553.090595,1395.156766,1369.326787,1344.580849,1583.688817,1523.036258,1338.732173,1.36504,0.95891,1.26309,1.03948,3.60526,3.98574,3.59079,3.99397, 
442,1581.440013,1552.396847,1395.067914,1369.062739,1344.445048,1583.690372,1523.134236,1338.551224,1.37819,0.97042,1.28283,1.05099,3.60756,3.9966,3.5977,4.00021, 
443,1581.290348,1552.3618,1394.800146,1368.954004,1344.187967,1583.762832,1523.012676,1338.492961,1.39299,0.97864,1.3042,1.06414,3.61315,4.0035,3.6023,4.00745, 
444,1581.339248,1552.211664,1394.767594,1368.997902,1344.243001,1584.187349,1523.322873,1338.460752,1.40286,0.9885,1.30913,1.07236,3.62565,4.01534,3.6171,4.01172, 
445,1581.175068,1552.09089,1394.583176,1368.545768,1344.293945,1584.452158,1523.453856,1338.509881,1.43245,1.00495,1.34037,1.09538,3.63749,4.02323,3.62269,4.03014, 
446,1581.398756,1552.25649,1394.55843,1368.612374,1344.426013,1584.910167,1523.497325,1338.475466,1.44889,1.02303,1.35517,1.11018,3.63683,4.03409,3.63026,4.03803, 
447,1581.41513,1552.197759,1394.466678,1368.514439,1344.352475,1585.306329,1523.591452,1338.457584,1.47356,1.03783,1.37326,1.12169,3.65097,4.04428,3.64505,4.05283, 
448,1581.118065,1551.931858,1394.290682,1368.122149,1344.108148,1585.487744,1523.781188,1338.274375,1.47685,1.04112,1.38806,1.12991,3.6513,4.0479,3.64571,4.05316, 
449,1581.299694,1552.172072,1394.302564,1368.26395,1344.101409,1585.64431,1523.591494,1338.143862,1.50151,1.05099,1.4045,1.148,3.66446,4.05908,3.65656,4.06566, 
450,1581.526077,1552.375813,1394.34871,1368.264451,1344.269757,1586.045842,1523.971822,1338.129921,1.52617,1.07729,1.43903,1.16279,3.67432,4.07289,3.6684,4.0821, 
451,1581.816095,1552.66645,1394.671904,1368.519843,1344.264684,1586.118319,1524.065456,1338.085627,1.53768,1.08387,1.44561,1.1743,3.67958,4.07815,3.66807,4.08407, 
452,1581.545524,1552.935922,1394.627034,1368.295076,1344.272291,1586.359382,1524.139067,1338.008864,1.55906,1.09702,1.46369,1.18417,3.68452,4.08769,3.6786,4.09262, 
453,1581.502423,1552.965151,1394.396983,1368.258564,1344.286761,1586.571918,1524.231312,1337.94271,1.5755,1.10853,1.48178,1.19732,3.69635,4.09131,3.68189,4.09624, 
454,1581.625341,1552.898705,1394.594594,1368.203427,1344.08892,1586.657712,1524.273905,1337.864745,1.61168,1.1332,1.52289,1.23185,3.71378,4.11268,3.7049,4.12025, 
455,1581.57706,1552.67654,1394.194091,1367.863218,1344.179539,1587.008657,1524.324653,1337.753961,1.62812,1.14635,1.5344,1.24172,3.71707,4.11761,3.70622,4.12353, 
456,1582.081109,1552.908549,1394.505651,1368.170813,1344.113167,1587.271424,1524.638847,1337.770475,1.65443,1.16773,1.55577,1.25652,3.7276,4.12781,3.71576,4.13307, 
457,1581.730688,1552.675968,1394.359641,1367.82601,1344.026195,1587.404951,1524.650258,1337.733437,1.66429,1.17266,1.57057,1.26638,3.73319,4.13208,3.71937,4.138, 
458,1582.065558,1553.184832,1394.401753,1368.175087,1344.265879,1587.783374,1524.744992,1337.62777,1.68731,1.19075,1.60181,1.28447,3.74338,4.14261,3.7276,4.14754, 
459,1582.136888,1552.963224,1394.429062,1368.177727,1344.161061,1588.102082,1525.031717,1337.732338,1.72349,1.21377,1.6347,1.30584,3.75949,4.15609,3.74338,4.16267, 
460,1582.290654,1553.012222,1394.520568,1368.066231,1344.111145,1588.274713,1525.022967,1337.618098,1.74651,1.23021,1.65772,1.32558,3.76081,4.16497,3.74897,4.16431, 
461,1581.828886,1552.997718,1394.038372,1367.671897,1344.178304,1588.72109,1525.332438,1337.584939,1.76459,1.23843,1.67745,1.34037,3.771,4.17056,3.75686,4.17648, 
462,1581.921721,1552.718385,1393.973063,1367.554744,1343.999066,1588.475135,1525.137517,1337.377568,1.77446,1.25158,1.68402,1.3486,3.76772,4.17451,3.75719,4.17944, 
463,1581.754996,1552.654024,1393.867002,1367.32118,1344.180225,1588.832883,1525.319785,1337.425041,1.82214,1.28283,1.73664,1.38641,3.78547,4.19391,3.77627,4.19917, 
464,1581.927454,1552.838006,1393.808515,1367.414448,1343.993453,1589.099593,1525.511135,1337.368237,1.83365,1.29762,1.74815,1.39628,3.79369,4.19917,3.78317,4.20509, 
465,1582.071565,1552.733987,1393.961331,1367.406509,1343.846343,1589.219365,1525.396356,1337.266647,1.86325,1.31242,1.77117,1.41272,3.80323,4.20805,3.78843,4.21364, 
466,1581.855818,1552.498638,1393.640346,1367.062118,1343.86414,1589.661183,1525.827613,1337.348517,1.86489,1.32393,1.78432,1.4193,3.80685,4.21265,3.79369,4.21857, 
467,1582.01372,1552.697288,1393.823575,1367.259231,1344.053934,1589.792646,1525.807588,1337.400367,1.91586,1.35517,1.82872,1.45218,3.82,4.22679,3.80751,4.23304, 
468,1581.97322,1552.618219,1393.834377,1367.154434,1344.326017,1590.335579,1526.216268,1337.400557,1.93559,1.37161,1.85338,1.4752,3.82822,4.23666,3.81573,4.24159, 
469,1581.520458,1552.554181,1393.407439,1366.771314,1344.07802,1590.187194,1525.84478,1337.086034,1.95697,1.38641,1.86818,1.48671,3.83349,4.24554,3.82296,4.24751, 
470,1582.496299,1553.194041,1394.052401,1367.571458,1343.996833,1590.323829,1525.901748,1336.977973,1.97835,1.4045,1.89778,1.50973,3.845,4.25113,3.82921,4.25804, 
471,1581.777508,1552.376725,1393.576878,1366.908498,1343.929031,1590.515128,1526.323188,1336.937066,2.00136,1.41601,1.91257,1.52453,3.84368,4.25409,3.8325,4.26165, 
472,1581.886819,1551.975085,1393.552301,1366.660544,1343.798062,1590.66268,1526.28744,1336.845013,2.05563,1.4604,1.97835,1.56893,3.86275,4.27546,3.84697,4.2804, 
473,1581.751375,1551.673898,1393.537984,1366.6505,1343.911619,1591.099965,1526.64651,1336.764764,2.07042,1.47191,1.98657,1.57715,3.87196,4.27908,3.85683,4.28862, 
474,1581.851879,1551.606632,1393.53139,1366.720797,1344.013619,1591.264598,1526.751377,1336.681219,2.10002,1.49822,2.01287,1.60345,3.87065,4.28993,3.86012,4.29552, 
475,1581.786452,1551.576645,1393.652602,1366.747448,1343.846338,1590.996619,1526.514441,1336.48741,2.11646,1.50973,2.03096,1.61661,3.88314,4.2952,3.86966,4.30309, 
476,1581.80648,1551.500692,1393.414845,1366.378738,1343.751563,1591.492967,1526.728174,1336.530299,2.1625,1.54591,2.08029,1.65607,3.89498,4.30901,3.8815,4.31723, 
477,1582.143571,1551.52545,1393.495054,1366.573255,1343.788909,1591.915366,1526.914054,1336.607126,2.19703,1.56399,2.11646,1.67745,3.90255,4.31953,3.88577,4.32479, 
478,1582.117926,1551.500302,1393.61103,1366.580773,1343.978929,1591.968842,1526.775134,1336.454328,2.20854,1.5755,2.12797,1.69718,3.91044,4.33005,3.89695,4.33104, 
479,1582.077077,1551.72841,1393.531418,1366.489211,1343.675057,1592.146028,1526.97279,1336.377888,2.25129,1.6051,2.16908,1.72184,3.91504,4.33466,3.90156,4.34091, 
480,1582.186536,1551.730929,1393.373769,1366.435928,1343.79667,1592.296501,1527.12354,1336.4541,2.27924,1.63141,2.20032,1.74979,3.92524,4.34321,3.90814,4.35044, 
481,1582.27831,1551.825016,1393.551266,1366.545045,1343.707307,1592.375889,1527.013613,1336.351113,2.3335,1.67251,2.25129,1.79419,3.94398,4.36031,3.92655,4.3659, 
482,1582.156047,1551.648607,1393.367563,1366.499306,1343.458953,1592.325252,1526.919417,1336.065333,2.34995,1.68238,2.26773,1.80899,3.93971,4.36425,3.92425,4.37116, 
483,1582.233305,1551.677904,1393.421718,1366.470981,1343.486068,1592.636745,1527.336614,1336.010483,2.38612,1.71362,2.30062,1.83529,3.95286,4.37445,3.93905,4.3807, 
484,1582.27374,1551.6579,1393.363483,1366.360054,1343.577434,1593.117107,1527.379851,1336.100256,2.41572,1.73171,2.3335,1.85996,3.96503,4.38366,3.94793,4.39122, 
485,1582.053186,1551.496078,1393.137382,1366.033191,1343.567398,1592.995904,1527.354616,1335.927995,2.4486,1.75801,2.3631,1.8912,3.96963,4.39451,3.95549,4.4001, 
486,1582.211716,1551.599509,1393.353516,1366.249959,1343.675929,1593.311218,1527.689519,1335.982949,2.48149,1.78761,2.3927,1.9208,3.97522,4.40306,3.96404,4.40964, 
487,1582.039576,1551.413728,1393.272333,1366.093094,1343.501458,1593.331136,1527.47648,1335.722108,2.50286,1.80405,2.41901,1.93395,3.98311,4.40701,3.967,4.41391, 
488,1582.25543,1551.386434,1393.123323,1366.095086,1343.363398,1593.446839,1527.508,1335.569322,2.55055,1.84516,2.46504,1.97835,3.99758,4.42345,3.98081,4.4297, 
489,1582.172901,1551.255784,1393.013768,1365.920926,1343.364839,1593.666308,1527.820114,1335.581118,2.57357,1.85831,2.47984,1.9915,4.00285,4.42739,3.98805,4.43627, 
490,1582.408609,1551.597924,1393.353276,1366.266079,1343.621604,1593.824493,1527.822883,1335.577612,2.61632,1.90107,2.5341,2.03589,4.01534,4.44055,4.00021,4.4514, 
491,1582.134937,1551.560869,1393.0873,1365.830429,1343.378812,1594.024221,1527.949384,1335.511002,2.63934,1.91422,2.55383,2.05069,4.00942,4.44745,4.0012,4.45337, 
492,1582.281179,1551.550344,1393.341507,1366.187293,1343.242545,1593.90461,1527.818532,1335.378725,2.69688,1.96519,2.61632,2.09838,4.02784,4.46094,4.01304,4.46883, 
493,1582.258158,1551.542198,1392.947649,1365.980764,1343.173939,1594.093425,1527.82575,1335.180058,2.72155,1.97999,2.63276,2.11646,4.03277,4.46686,4.02027,4.47409, 
494,1582.292047,1551.512618,1393.070849,1365.886981,1343.031687,1594.42915,1527.748861,1334.988579,2.75115,2.00959,2.66893,2.1477,4.04033,4.47574,4.02554,4.48363, 
495,1582.438529,1551.457301,1393.12717,1365.909382,1343.141325,1594.522617,1528.066548,1335.034452,2.79225,2.04412,2.71168,2.18552,4.05415,4.4856,4.03935,4.49448, 
496,1582.364727,1551.490523,1393.024736,1365.882357,1343.194857,1594.821418,1528.274257,1335.061587,2.80705,2.05727,2.72977,2.20032,4.05645,4.49119,4.04165,4.49908, 
497,1582.403938,1551.465032,1393.096748,1365.877039,1343.116454,1594.747493,1528.067264,1334.913059,2.87446,2.10824,2.79225,2.248,4.0673,4.50632,4.05316,4.51125, 
498,1582.114601,1551.384292,1392.884247,1365.594911,1342.90475,1594.830529,1528.057167,1334.829564,2.90899,2.13619,2.82185,2.28089,4.0844,4.51553,4.06566,4.51816, 
499,1582.366679,1551.570247,1392.830962,1365.842626,1342.87669,1594.979782,1528.068864,1334.63611,2.94681,2.17072,2.86789,2.31706,4.08868,4.52572,4.07289,4.53131, 
500,1582.32923,1551.601507,1392.888978,1365.711822,1342.879392,1595.18498,1528.336715,1334.591724,2.95832,2.18552,2.88269,2.32693,4.09131,4.52967,4.08045,4.53526, 
501,1582.367371,1551.601913,1392.973338,1365.807544,1342.693008,1595.288694,1528.287067,1334.523576,3.02738,2.23649,2.94846,2.38283,4.10939,4.54414,4.09394,4.55039, 
502,1582.583258,1552.087766,1393.364631,1366.058165,1342.760421,1595.445043,1528.287894,1334.389373,3.04711,2.26116,2.96983,2.40256,4.10643,4.54907,4.09525,4.55499, 
503,1582.203592,1551.661949,1392.952383,1365.746073,1342.821167,1595.555309,1528.331271,1334.24763,3.08822,2.29404,3.01094,2.43874,4.11827,4.55926,4.10676,4.56584, 
504,1582.613372,1551.580096,1393.084428,1365.970792,1342.810895,1595.742054,1528.377951,1334.362919,3.13097,2.32693,3.05369,2.47984,4.12748,4.56781,4.11137,4.57505, 
505,1582.50028,1551.759049,1392.880818,1365.810308,1342.727167,1595.944713,1528.488017,1334.283378,3.18194,2.36146,3.09644,2.51766,4.12814,4.57702,4.1186,4.58557, 
506,1583.019162,1552.022179,1393.038982,1366.01197,1342.680063,1595.929835,1528.378042,1334.204806,3.22469,2.40092,3.14083,2.55548,4.14524,4.58689,4.13307,4.59577, 
507,1582.984236,1551.736732,1392.95842,1365.88362,1342.140312,1596.331732,1528.803088,1334.04787,3.251,2.42065,3.16714,2.57521,4.14458,4.59182,4.13373,4.59906, 
508,1582.469806,1551.483741,1392.856744,1365.496033,1341.695627,1595.976912,1528.3602,1333.778496,3.31677,2.48313,3.23291,2.64098,4.15872,4.60662,4.14721,4.61484, 
509,1583.256318,1552.194271,1393.419411,1366.179833,1341.880628,1596.206267,1528.40893,1333.702242,3.36281,2.51931,3.27895,2.67551,4.17385,4.61747,4.15675,4.62438, 
510,1582.94752,1551.990936,1393.338254,1365.925263,1342.074447,1596.281485,1528.50049,1333.58105,3.4072,2.55548,3.32335,2.72155,4.1847,4.62668,4.16563,4.63326, 
511,1582.807918,1552.000079,1393.393911,1366.094009,1342.394341,1596.41745,1528.618772,1333.560624,3.42693,2.57685,3.34308,2.74128,4.18799,4.63063,4.16892,4.63819, 
512,1582.349319,1552.049438,1393.037803,1365.838408,1342.554402,1596.356129,1528.40771,1333.338831,3.47297,2.61632,3.39076,2.77581,4.20246,4.64115,4.17911,4.64838, 
513,1582.927119,1552.352803,1393.331994,1366.196912,1343.01059,1596.785518,1528.908314,1333.443356,3.53874,2.6788,3.4516,2.84322,4.20936,4.65595,4.19062,4.66252, 
514,1582.90879,1552.282219,1393.149683,1366.073547,1343.021489,1597.026365,1528.963825,1333.444996,3.55683,2.69688,3.47955,2.8646,4.21528,4.66055,4.1972,4.66713, 
515,1582.501205,1552.180705,1392.697764,1365.527777,1342.460826,1596.856909,1528.791429,1333.333352,3.6078,2.74128,3.51737,2.90899,4.22252,4.67042,4.2041,4.67634, 
516,1582.865782,1552.079643,1393.018516,1365.786531,1342.136804,1596.888942,1528.71978,1333.122317,3.62425,2.76101,3.54532,2.93366,4.22811,4.68028,4.21298,4.68258, 
517,1583.392215,1552.172321,1393.169898,1365.898824,1342.096037,1596.989488,1528.814122,1333.026569,3.71961,2.8498,3.64069,3.01916,4.23534,4.69508,4.22351,4.701, 
518,1583.173572,1552.142217,1393.22633,1365.785392,1341.858879,1596.865779,1528.649504,1332.654272,3.74428,2.87118,3.66042,3.04218,4.24751,4.69771,4.23074,4.70626, 
519,1583.287568,1552.249944,1393.290462,1365.916108,1342.034285,1597.170476,1528.821589,1332.840743,3.78703,2.91228,3.70646,3.08986,4.24784,4.70955,4.23765,4.71646, 
520,1583.314378,1552.019056,1393.2623,1365.700028,1341.828332,1597.185827,1528.862835,1332.726033,3.8084,2.93695,3.72948,3.1063,4.26264,4.71448,4.24521,4.72073, 
521,1583.288763,1552.081936,1393.187337,1365.54882,1341.770791,1597.25965,1528.880612,1332.6412,3.86266,2.98134,3.77716,3.15234,4.26198,4.72336,4.25047,4.72994, 
522,1583.472682,1552.140065,1393.227626,1365.857204,1341.751218,1597.501753,1529.06725,1332.687816,3.92514,3.04711,3.84622,3.22469,4.28138,4.73849,4.26494,4.74375, 
523,1583.265798,1551.91239,1393.052863,1365.763094,1341.572363,1597.449855,1529.04455,1332.794442,3.97118,3.08986,3.89061,3.27073,4.29256,4.7477,4.27448,4.75, 
524,1583.414377,1551.986329,1393.289029,1365.853801,1341.658477,1597.704157,1529.099363,1332.43247,3.99091,3.11288,3.91363,3.29211,4.28829,4.75263,4.27612,4.76052, 
525,1583.41293,1552.112836,1393.168733,1365.832636,1341.584538,1597.680954,1529.094827,1332.410536,4.01558,3.1359,3.93665,3.32006,4.30079,4.75658,4.28138,4.76282, 
526,1583.495246,1552.080282,1393.081138,1365.711122,1341.52056,1597.712057,1529.035829,1332.357882,4.11259,3.22469,4.03366,3.41214,4.31526,4.77664,4.2998,4.78256, 
527,1583.707712,1552.357937,1393.352274,1365.949151,1341.455316,1597.986181,1529.239099,1332.328535,4.13396,3.25264,4.05504,3.44173,4.31657,4.78091,4.30309,4.78815, 
528,1583.633724,1552.422331,1393.147779,1365.859292,1341.330451,1598.145696,1529.192536,1332.224191,4.18494,3.30033,4.10108,3.49106,4.32742,4.79078,4.3146,4.79703, 
529,1583.678351,1552.297823,1393.111272,1365.982555,1341.336803,1598.152385,1529.431533,1332.070339,4.20796,3.3217,4.13232,3.51244,4.33334,4.7967,4.31789,4.80196, 
530,1583.853138,1552.398459,1393.194755,1366.248545,1341.493001,1598.298006,1529.424374,1331.978032,4.28852,3.39898,4.21289,3.59136,4.34584,4.81149,4.334,4.81676, 
531,1583.592716,1552.383931,1392.992851,1366.036844,1341.509963,1598.331381,1529.391002,1331.874729,4.34279,3.4516,4.25728,3.64562,4.35965,4.82136,4.34025,4.82629, 
532,1583.671407,1552.122913,1393.036938,1366.253073,1341.415633,1598.424031,1529.423706,1331.811071,4.3658,3.47462,4.2803,3.667,4.36064,4.83123,4.34847,4.83057, 
533,1583.894759,1552.433345,1393.235904,1366.540197,1341.438046,1598.455266,1529.534312,1331.936543,4.41842,3.52066,4.33621,3.72126,4.3682,4.8355,4.3534,4.84208, 
534,1583.979202,1552.625066,1393.273545,1366.432103,1341.387866,1598.51047,1529.39017,1331.965001,4.43486,3.54532,4.36087,3.74756,4.37215,4.84076,4.35866,4.84602, 
535,1583.809827,1552.157145,1393.191328,1366.128791,1341.287071,1598.730667,1529.714345,1332.120172,4.53187,3.64562,4.45459,3.84951,4.38464,4.86017,4.3728,4.86707, 
536,1583.865308,1552.458638,1393.401528,1366.293889,1341.320499,1598.647222,1529.609825,1332.305782,4.54996,3.667,4.47597,3.87253,4.39451,4.86641,4.38037,4.87069, 
537,1583.918614,1552.491201,1393.277905,1366.074013,1341.333354,1598.966439,1529.696016,1332.138191,4.60751,3.71961,4.5253,3.92679,4.4001,4.87759,4.38596,4.88055, 
538,1583.960885,1552.362589,1393.31781,1365.994329,1341.346779,1599.164054,1529.94107,1331.979839,4.62889,3.74428,4.55161,3.94816,4.40339,4.88088,4.39122,4.88614, 
539,1584.097665,1552.423563,1393.447123,1365.995873,1341.428401,1599.170266,1529.848524,1331.712528,4.6963,3.81991,4.61902,4.02544,4.42016,4.89568,4.40503,4.90029, 
540,1584.273313,1552.845837,1393.538487,1366.233329,1341.51254,1599.317329,1530.03933,1331.835648,4.74563,3.86431,4.67164,4.06984,4.42542,4.90653,4.41227,4.91081, 
541,1584.077727,1552.610439,1393.405974,1365.967741,1341.494302,1599.386245,1530.091265,1331.877627,4.77522,3.89061,4.69959,4.09944,4.43989,4.91574,4.42476,4.91607, 
542,1584.136272,1552.409842,1393.396961,1365.932412,1341.592652,1599.598051,1530.305324,1332.073157,4.81962,3.9383,4.74727,4.1537,4.43627,4.921,4.42246,4.92462, 
543,1584.374752,1552.768362,1393.522377,1366.183641,1341.607789,1599.727226,1530.333883,1332.082194,4.87881,3.98598,4.79824,4.20631,4.4514,4.93153,4.43693,4.93481, 
544,1584.246469,1552.810663,1393.72382,1366.116213,1341.552318,1599.714402,1530.207814,1331.942507,4.94458,4.06326,4.87059,4.27866,4.46751,4.94468,4.4514,4.94994, 
545,1584.555785,1552.977752,1393.843573,1366.164138,1341.565428,1599.955618,1530.520054,1332.016812,4.97254,4.08299,4.90019,4.30332,4.46751,4.94928,4.45502,4.95487, 
546,1585.041215,1553.389853,1394.1784,1366.748724,1341.83032,1600.193967,1530.640373,1332.038999,5.01693,4.13561,4.94294,4.35594,4.47902,4.96112,4.46357,4.9654, 
547,1584.588844,1553.166401,1393.87099,1366.331826,1341.73519,1600.340997,1530.824868,1332.142425,5.06955,4.18165,4.99556,4.40691,4.48429,4.96934,4.47113,4.97362, 
548,1584.45394,1553.046388,1394.052743,1366.389016,1341.566258,1599.930046,1530.46119,1332.020061,5.11065,4.23098,5.04159,4.45459,4.49448,4.97789,4.48034,4.98447, 
549,1584.237429,1552.970996,1393.870012,1366.18876,1341.577197,1600.121787,1530.569308,1331.867827,5.16491,4.27701,5.07941,4.50063,4.50862,4.98743,4.49119,4.99236, 
550,1584.570361,1553.220319,1394.087741,1366.487721,1341.932798,1600.490575,1530.933444,1332.198172,5.18464,4.29675,5.10901,4.52365,4.50928,4.99269,4.49547,4.99861, 
551,1584.513656,1553.239681,1394.081244,1366.475637,1342.060295,1600.714695,1531.085507,1332.212609,5.24877,4.37403,5.16985,4.596,4.52309,5.0065,4.50928,5.01275, 
552,1584.86932,1553.649015,1394.361475,1366.706303,1341.87463,1600.674964,1531.077444,1332.205085,5.26028,4.39211,5.18958,4.61902,4.52539,5.01144,4.50796,5.01736, 
553,1584.605407,1553.764137,1394.326758,1366.624568,1341.788098,1600.489383,1530.941468,1331.921434,5.32605,4.45953,5.25206,4.68643,4.53559,5.02624,4.5221,5.03183, 
554,1584.61713,1553.747644,1394.29233,1366.546468,1341.858183,1600.383823,1531.025627,1331.974316, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
